epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,887.384,0.66827,0.54869,1.14274,0.92905,0.94025,0.96653,0.82098,0.60349,0.43333,1.17871,0.000580174,0.000580174,0.000580174
122,894.566,0.69289,0.56088,1.16149,0.93943,0.93183,0.96827,0.82664,0.61409,0.42995,1.17785,0.0005731,0.0005731,0.0005731
123,901.772,0.69902,0.55526,1.16367,0.90622,0.9453,0.95731,0.81576,0.59901,0.45567,1.15487,0.000566027,0.000566027,0.000566027
124,909.037,0.69433,0.54274,1.16148,0.93474,0.92832,0.95524,0.81295,0.60798,0.45136,1.1693,0.000558953,0.000558953,0.000558953
125,916.379,0.68421,0.54124,1.16023,0.90163,0.93605,0.95737,0.80975,0.60269,0.44316,1.17175,0.00055188,0.00055188,0.00055188
126,923.642,0.67732,0.53274,1.15354,0.93462,0.93925,0.96677,0.83038,0.59972,0.40286,1.16315,0.000544806,0.000544806,0.000544806
127,930.766,0.71494,0.56221,1.16961,0.91912,0.94383,0.95761,0.81766,0.60562,0.42889,1.16518,0.000537733,0.000537733,0.000537733
128,938.006,0.68051,0.55725,1.1556,0.92001,0.93513,0.9682,0.82472,0.60384,0.4226,1.16651,0.000530659,0.000530659,0.000530659
129,945.247,0.69106,0.54589,1.16085,0.9056,0.94801,0.9664,0.82108,0.60951,0.43428,1.16129,0.000523586,0.000523586,0.000523586
130,952.473,0.68387,0.54487,1.15741,0.95208,0.9536,0.98127,0.84811,0.58649,0.36777,1.14452,0.000516512,0.000516512,0.000516512
131,960.002,0.68264,0.54405,1.1549,0.94074,0.94491,0.97503,0.8314,0.61099,0.39943,1.1602,0.000509438,0.000509438,0.000509438
132,967.085,0.67184,0.53339,1.14823,0.94098,0.91819,0.95832,0.81819,0.61072,0.4435,1.16459,0.000502365,0.000502365,0.000502365
133,974.469,0.68613,0.53115,1.14855,0.93641,0.93891,0.95888,0.81732,0.60029,0.44427,1.1687,0.000495291,0.000495291,0.000495291
134,981.698,0.66977,0.53097,1.15177,0.91018,0.91005,0.94083,0.80809,0.60735,0.52559,1.17063,0.000488218,0.000488218,0.000488218
135,988.925,0.6767,0.52319,1.15913,0.91544,0.92489,0.9683,0.83147,0.59314,0.42971,1.1663,0.000481144,0.000481144,0.000481144
136,996.195,0.68037,0.53551,1.15986,0.93124,0.91836,0.95668,0.8234,0.59871,0.45483,1.15931,0.000474071,0.000474071,0.000474071
137,1003.53,0.68159,0.52824,1.1515,0.95037,0.93553,0.97648,0.83643,0.59539,0.38395,1.15996,0.000466997,0.000466997,0.000466997
138,1010.91,0.68194,0.55104,1.14951,0.95732,0.94194,0.97858,0.84535,0.58011,0.36464,1.14688,0.000459924,0.000459924,0.000459924
139,1018.02,0.66331,0.51951,1.14789,0.91903,0.92864,0.95966,0.83056,0.58884,0.4365,1.15064,0.00045285,0.00045285,0.00045285
140,1025.32,0.64745,0.49351,1.13554,0.93177,0.94348,0.95902,0.82079,0.61077,0.42976,1.17747,0.000445777,0.000445777,0.000445777
141,1032.49,0.66428,0.51662,1.13936,0.93632,0.9443,0.97104,0.83544,0.59614,0.39423,1.15913,0.000438703,0.000438703,0.000438703
142,1039.68,0.65884,0.51738,1.13834,0.92995,0.96065,0.97706,0.8426,0.58732,0.38782,1.15391,0.000431629,0.000431629,0.000431629
143,1047.06,0.66453,0.53,1.14646,0.93991,0.95367,0.9752,0.84465,0.59939,0.38719,1.15973,0.000424556,0.000424556,0.000424556
144,1054.42,0.65023,0.52191,1.13697,0.91051,0.92804,0.967,0.84353,0.58408,0.44228,1.14054,0.000417482,0.000417482,0.000417482
145,1061.63,0.65029,0.50517,1.14118,0.93511,0.95784,0.97421,0.84175,0.57434,0.39187,1.1455,0.000410409,0.000410409,0.000410409
146,1068.81,0.66453,0.51557,1.14201,0.94051,0.95438,0.97531,0.85007,0.56418,0.38084,1.12761,0.000403335,0.000403335,0.000403335
147,1076.09,0.66456,0.52156,1.1452,0.93588,0.96075,0.97526,0.84647,0.58292,0.3709,1.14457,0.000396262,0.000396262,0.000396262
148,1083.49,0.65912,0.51864,1.13628,0.93643,0.9409,0.96683,0.8295,0.60246,0.40442,1.16491,0.000389188,0.000389188,0.000389188
149,1090.68,0.65062,0.51978,1.13089,0.94675,0.95387,0.97424,0.84155,0.5927,0.3793,1.16166,0.000382115,0.000382115,0.000382115
150,1098.27,0.66184,0.52291,1.1494,0.95089,0.95553,0.96904,0.82979,0.60347,0.3841,1.1732,0.000375041,0.000375041,0.000375041
151,1105.28,0.64517,0.49419,1.13542,0.92553,0.93633,0.96725,0.82493,0.61303,0.42368,1.1833,0.000367967,0.000367967,0.000367967
152,1112.54,0.64787,0.50839,1.1342,0.93499,0.95775,0.97617,0.84831,0.58254,0.38285,1.14779,0.000360894,0.000360894,0.000360894
153,1119.75,0.63028,0.49223,1.12515,0.93984,0.94995,0.97088,0.83292,0.5904,0.39733,1.15581,0.00035382,0.00035382,0.00035382
154,1126.85,0.64321,0.49432,1.13416,0.93667,0.94854,0.96754,0.83397,0.5834,0.40523,1.15248,0.000346747,0.000346747,0.000346747
155,1134.27,0.63825,0.51597,1.13584,0.94291,0.96512,0.97375,0.84062,0.58164,0.36331,1.14236,0.000339673,0.000339673,0.000339673
156,1141.35,0.63384,0.48374,1.12626,0.95192,0.95073,0.9773,0.84336,0.58289,0.37047,1.15296,0.0003326,0.0003326,0.0003326
157,1148.78,0.64047,0.48522,1.1368,0.92761,0.93297,0.97033,0.84101,0.5834,0.41484,1.1524,0.000325526,0.000325526,0.000325526
158,1156.01,0.6364,0.48471,1.12348,0.92092,0.93294,0.96097,0.82898,0.60048,0.4478,1.15762,0.000318453,0.000318453,0.000318453
159,1163.19,0.64962,0.50149,1.12714,0.93367,0.95179,0.97522,0.84084,0.59125,0.38865,1.15721,0.000311379,0.000311379,0.000311379
160,1170.44,0.63836,0.49563,1.13182,0.94942,0.94233,0.97472,0.84708,0.57535,0.37688,1.14684,0.000304306,0.000304306,0.000304306
161,1177.54,0.61912,0.48098,1.12059,0.94183,0.94599,0.97492,0.85225,0.56741,0.37509,1.13823,0.000297232,0.000297232,0.000297232
162,1184.78,0.63202,0.49509,1.12121,0.9508,0.95709,0.97204,0.84095,0.59422,0.37584,1.16441,0.000290158,0.000290158,0.000290158
163,1192.27,0.64132,0.49006,1.1306,0.94028,0.96288,0.97585,0.84415,0.58913,0.36463,1.15862,0.000283085,0.000283085,0.000283085
164,1199.51,0.62792,0.47776,1.11504,0.93556,0.96645,0.97617,0.84801,0.58887,0.36594,1.1532,0.000276011,0.000276011,0.000276011
165,1206.76,0.62761,0.47685,1.11962,0.92994,0.95149,0.96724,0.83618,0.60144,0.40703,1.16412,0.000268938,0.000268938,0.000268938
166,1213.95,0.62947,0.48624,1.12366,0.93274,0.94758,0.97204,0.8388,0.58415,0.37602,1.15951,0.000261864,0.000261864,0.000261864
167,1221.15,0.63092,0.47978,1.12215,0.93988,0.95276,0.97483,0.84437,0.59082,0.37858,1.16364,0.000254791,0.000254791,0.000254791
168,1228.29,0.62711,0.48162,1.11892,0.94866,0.95906,0.98036,0.84865,0.58325,0.35461,1.15635,0.000247717,0.000247717,0.000247717
169,1235.61,0.61685,0.48241,1.11316,0.91318,0.96135,0.96982,0.84171,0.5906,0.40972,1.1586,0.000240644,0.000240644,0.000240644
170,1243.03,0.62093,0.47412,1.12007,0.94981,0.95995,0.98082,0.84941,0.58559,0.34773,1.15395,0.00023357,0.00023357,0.00023357
171,1250.2,0.60978,0.4821,1.11224,0.93218,0.93376,0.96706,0.83788,0.58925,0.40338,1.15224,0.000226497,0.000226497,0.000226497
172,1257.31,0.62501,0.48844,1.11899,0.9203,0.95999,0.9671,0.83541,0.60106,0.40292,1.16816,0.000219423,0.000219423,0.000219423
173,1264.52,0.61131,0.46703,1.10869,0.93898,0.95871,0.97459,0.84009,0.59471,0.36643,1.1697,0.000212349,0.000212349,0.000212349
174,1271.82,0.62398,0.48234,1.12202,0.95207,0.96845,0.98074,0.8523,0.57327,0.33488,1.14859,0.000205276,0.000205276,0.000205276
175,1279.03,0.61096,0.45425,1.10184,0.95621,0.96672,0.98072,0.8543,0.57952,0.33642,1.15419,0.000198202,0.000198202,0.000198202
176,1286.33,0.62603,0.47803,1.115,0.96603,0.96143,0.97949,0.84945,0.57706,0.34373,1.14197,0.000191129,0.000191129,0.000191129
177,1293.67,0.60774,0.44774,1.11946,0.96124,0.96662,0.97651,0.85118,0.57903,0.34416,1.14406,0.000184055,0.000184055,0.000184055
178,1300.99,0.60289,0.46438,1.11131,0.95519,0.96615,0.97539,0.85389,0.57894,0.35075,1.14717,0.000176982,0.000176982,0.000176982
179,1308.12,0.61269,0.46479,1.11384,0.96894,0.96016,0.98012,0.85486,0.58305,0.34082,1.14925,0.000169908,0.000169908,0.000169908
180,1315.45,0.61062,0.45502,1.11549,0.96407,0.96238,0.98071,0.85358,0.57158,0.34306,1.13989,0.000162835,0.000162835,0.000162835
181,1322.66,0.60657,0.46836,1.10249,0.95837,0.967,0.98051,0.85184,0.58618,0.34666,1.14777,0.000155761,0.000155761,0.000155761
182,1329.73,0.59618,0.44809,1.09995,0.94474,0.95868,0.97759,0.851,0.58103,0.36127,1.15373,0.000148687,0.000148687,0.000148687
