epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,946.878,0.97421,1.02691,1.55595,0.55105,0.74456,0.68835,0.45818,1.06641,1.35214,1.81626,0.0085348,0.0085348,0.0085348
76,959.096,0.97266,1.0353,1.55741,0.6971,0.84191,0.81144,0.57672,0.96362,0.90872,1.66635,0.008515,0.008515,0.008515
77,971.269,0.94014,0.97912,1.5294,0.62117,0.85393,0.82098,0.64175,0.78697,0.98858,1.4493,0.0084952,0.0084952,0.0084952
78,983.622,0.95362,1.00013,1.5237,0.79649,0.8488,0.88092,0.69233,0.74133,0.66518,1.37036,0.0084754,0.0084754,0.0084754
79,995.772,0.93231,0.98975,1.51569,0.80379,0.85572,0.87777,0.66024,0.86314,0.68929,1.53266,0.0084556,0.0084556,0.0084556
80,1007.98,0.9506,0.96753,1.5312,0.71151,0.84093,0.85682,0.67298,0.77774,0.82307,1.44385,0.0084358,0.0084358,0.0084358
81,1020.09,0.94591,0.96001,1.52349,0.60621,0.86681,0.83392,0.57583,1.05514,0.97035,1.73111,0.008416,0.008416,0.008416
82,1032.2,0.92197,0.95096,1.50489,0.56244,0.68497,0.68932,0.45129,1.24253,1.42973,2.03268,0.0083962,0.0083962,0.0083962
83,1044.35,0.94966,0.99168,1.52733,0.82111,0.90186,0.92933,0.74709,0.71476,0.637,1.36242,0.0083764,0.0083764,0.0083764
84,1056.47,0.93372,0.96591,1.52004,0.81787,0.86185,0.90729,0.71317,0.75306,0.63797,1.43409,0.0083566,0.0083566,0.0083566
85,1068.58,0.92378,0.94844,1.5117,0.78727,0.83949,0.87866,0.65689,0.81773,0.80699,1.5071,0.0083368,0.0083368,0.0083368
86,1080.67,0.91349,0.95456,1.50303,0.66796,0.8337,0.82982,0.65832,0.75783,1.04669,1.42631,0.008317,0.008317,0.008317
87,1092.97,0.91299,0.94861,1.49588,0.86458,0.90105,0.93139,0.75096,0.70595,0.56956,1.3453,0.0082972,0.0082972,0.0082972
88,1105.1,0.92032,0.9317,1.50361,0.57782,0.75694,0.72148,0.5581,0.7863,1.32075,1.42658,0.0082774,0.0082774,0.0082774
89,1117.29,0.91057,0.93159,1.48912,0.69196,0.56373,0.61293,0.36942,1.33117,1.93471,2.16109,0.0082576,0.0082576,0.0082576
90,1129.45,0.895,0.93041,1.48212,0.80977,0.81754,0.89044,0.71851,0.72627,0.71502,1.35475,0.0082378,0.0082378,0.0082378
91,1141.55,0.90256,0.9261,1.49161,0.70883,0.8074,0.82568,0.62935,0.82002,0.80884,1.56755,0.008218,0.008218,0.008218
92,1153.73,0.94251,0.93604,1.5113,0.74416,0.82101,0.86434,0.70691,0.69834,0.80306,1.32002,0.0081982,0.0081982,0.0081982
93,1165.86,0.9011,0.91089,1.47708,0.88082,0.86219,0.92135,0.76194,0.67502,0.58515,1.29835,0.0081784,0.0081784,0.0081784
94,1178.07,0.90204,0.87836,1.48365,0.59528,0.81031,0.7581,0.58151,0.79188,1.04291,1.45933,0.0081586,0.0081586,0.0081586
95,1190.18,0.90686,0.92576,1.48542,0.81727,0.86265,0.91184,0.7249,0.69834,0.6513,1.34127,0.0081388,0.0081388,0.0081388
